reinvigorating^deteriorating^differentiating^reevaluating^rehabilitating(1)^renegotiating^incapacitating^misappropriating^reincorporating^self-perpetuating^overestimating^differentiating(1)^rehabilitating^underestimating,invalidating^invalidating^extrapolating^contaminating^evacuating^corroborating^misallocating^pontificating^interrogating^coagulating^evaporating^exterminating^deliberating^predominating^annihilating^exasperating^evaluating^facilitating^deregulating^reverberating^repudiating^exonerating^accentuating^debilitating^alienating^exhilarating^innoculating^repatriating^coordinating^recalculating^alleviating^obliterating^impersonating^collaborating^extenuating^negotiating^incriminating^incarcerating^decelerating^humiliating^investigating^delineating^enunciating^retaliating^initiating^perpetuating^disintegrating^reciprocating^accommodating^discriminating^concatenating^affiliating^exacerbating^inaugurating^evacuating(1)^amalgamating^depreciating^regenerating^accelerating^illuminating^accumulating^eliminating^disseminating^originating^decaffeinating^cooperating^associating^reverberating(1)^incinerating^abbreviating^evaporating(1)^communicating^nonoperating^asphyxiating^self-deprecating^infuriating^eradicating^resuscitating^assimilating^participating^recuperating(1)^incorporating^intimidating^appropriating^instantiating^domesticating^invigorating^excoriating^electroplating^commemorating^procrastinating^degenerating^evaluating(1)^ingratiating^articulating^equivocating^authenticating^elaborating^redecorating^hydrogenating^inebriating^rejuvenating^prognosticating^reactivating^approximating^emancipating^adjudicating^manipulating^appreciating^officiating^excruciating^administrating^congratulating^necessitating^proliferating^reallocating^intoxicating^precipitating^encapsulating^infatuating^recuperating^consolidating^exaggerating^anticipating^reiterating^emaciating^assassinating^subordinating
,overemphasized^overemphasized
,genemedicine^genemedicine
differentiated(1)^differentiated(1)^excommunicated^uncontaminated,elucidated^evaluated^originated^concatenated^participated^consolidated^accommodated^contaminated^authenticated^inebriated^infuriated^approximated^recuperated^exacerbated^anticipated^oxygenated^domesticated^evaluated(1)^exaggerated^invalidated^disseminated^alienated^innoculated^necessitated^extravesated^associated^sophisticated(1)^associated(1)^instantiated^illuminated^evaporated(2)^initiated^articulated^evaporated^alleviated^procrastinated^intoxicated^investigated^repudiated^assassinated^reverberated(1)^demodulated^discriminated^collaborated^eliminated^affiliated^negotiated^cooperated^incorporated^officiated^abbreviated
,reconstituting^reconstituting
paleontologist^epidemiologist^sovietologist^ethnomusicologist^microbiologist^meteorologist,ophthalmologist^ophthalmologist^mineralogist^climatologist^archaeologist^creatologist^dermatologist^gerontologist^kremlinologist^sociologist^volcanologist^cardiologist^ophthalmologist(1)^radiologist^opthalmologist^physiologist^criminologist^climatologist(1)^immunologist^toxicologist^pharmacologist^mineralogist(1)^anthropologist(1)
,semiconductors^semiconductors^semiconductor's^superconductors^semiconductor's(2)^semiconductor's(1)^semiconductors(1)^semiconductors(2)
,polysyllabic^polysyllabic
anti-catholicism^anti-catholicism^anglo-catholicism^anti-catholicism(1),catholicism
institutionally^unconstitutionally^operationally^unconditionally^generationally^educationally(2)^internationally^educationally^internationally(2)^constitutionally^unintentionally,diagonally^diagonally^congressionally^occasionally^traditionally^originally^professionally^additionally^medicinally^proportionally^conditionally^phenomenally^nutritionally^intentionally^irrationally^exceptionally^rotationally^conventionally^provisionally
,hercegovina's(1)^hercegovina's(1)^hercegovina's^herzegovina's^herzegovina's(1)
encyclopedias^czechoslovakia's^encyclopedias(1),alitalia's(1)^alitalia's(1)^philadelphia's^yugoslavia's^ethiopia's^cafeterias^lusitanias^multimedia's(1)^multimedia's^confiterias^alitalia's^lithuania's^anacostia's^scandinavia's^lusitania's
